[Epoch  505] 🔧 LR: 0.001000 | AvgLoss: 0.4303 | Train Acc: 82.73%
[Epoch  510] 🔧 LR: 0.001000 | AvgLoss: 0.4349 | Train Acc: 84.24%
[Epoch  515] 🔧 LR: 0.001000 | AvgLoss: 0.4078 | Train Acc: 83.33%
[Epoch  520] 🔧 LR: 0.001000 | AvgLoss: 0.4678 | Train Acc: 85.76%
[Epoch  525] 🔧 LR: 0.001000 | AvgLoss: 0.3930 | Train Acc: 86.67%
[Epoch  530] 🔧 LR: 0.001000 | AvgLoss: 0.4441 | Train Acc: 86.97%
[Epoch  535] 🔧 LR: 0.001000 | AvgLoss: 0.3823 | Train Acc: 87.27%
[Epoch  540] 🔧 LR: 0.001000 | AvgLoss: 0.3391 | Train Acc: 90.00%
[Epoch  545] 🔧 LR: 0.001000 | AvgLoss: 0.3590 | Train Acc: 86.97%
[Epoch  550] 🔧 LR: 0.001000 | AvgLoss: 0.3256 | Train Acc: 89.09%
[Epoch  555] 🔧 LR: 0.001000 | AvgLoss: 0.5464 | Train Acc: 83.64%
[Epoch  560] 🔧 LR: 0.001000 | AvgLoss: 0.4170 | Train Acc: 86.36%
[Epoch  565] 🔧 LR: 0.001000 | AvgLoss: 0.4363 | Train Acc: 82.73%
[Epoch  570] 🔧 LR: 0.001000 | AvgLoss: 0.3817 | Train Acc: 87.27%
[Epoch  575] 🔧 LR: 0.001000 | AvgLoss: 0.3850 | Train Acc: 88.79%
[Epoch  580] 🔧 LR: 0.001000 | AvgLoss: 0.4545 | Train Acc: 83.03%
[Epoch  585] 🔧 LR: 0.001000 | AvgLoss: 0.4695 | Train Acc: 84.55%
[Epoch  590] 🔧 LR: 0.001000 | AvgLoss: 0.3486 | Train Acc: 89.09%
[Epoch  595] 🔧 LR: 0.001000 | AvgLoss: 0.3108 | Train Acc: 89.09%
[Epoch  600] 🔧 LR: 0.001000 | AvgLoss: 0.3204 | Train Acc: 90.00%
[Epoch  605] 🔧 LR: 0.001000 | AvgLoss: 0.3431 | Train Acc: 90.30%
[Epoch  610] 🔧 LR: 0.001000 | AvgLoss: 0.4238 | Train Acc: 85.15%
[Epoch  615] 🔧 LR: 0.001000 | AvgLoss: 0.3980 | Train Acc: 87.58%
[Epoch  620] 🔧 LR: 0.001000 | AvgLoss: 0.3913 | Train Acc: 87.58%
[Epoch  625] 🔧 LR: 0.001000 | AvgLoss: 0.3801 | Train Acc: 86.06%
[Epoch  630] 🔧 LR: 0.001000 | AvgLoss: 0.4618 | Train Acc: 86.97%
[Epoch  635] 🔧 LR: 0.001000 | AvgLoss: 0.3898 | Train Acc: 86.06%
[Epoch  640] 🔧 LR: 0.001000 | AvgLoss: 0.3298 | Train Acc: 87.58%
[Epoch  645] 🔧 LR: 0.001000 | AvgLoss: 0.3288 | Train Acc: 89.09%
[Epoch  650] 🔧 LR: 0.001000 | AvgLoss: 0.4087 | Train Acc: 84.85%
[Epoch  655] 🔧 LR: 0.001000 | AvgLoss: 0.3470 | Train Acc: 86.97%
[Epoch  660] 🔧 LR: 0.001000 | AvgLoss: 0.3198 | Train Acc: 89.39%
[Epoch  665] 🔧 LR: 0.001000 | AvgLoss: 0.3271 | Train Acc: 88.18%
[Epoch  670] 🔧 LR: 0.001000 | AvgLoss: 0.3480 | Train Acc: 88.18%
[Epoch  675] 🔧 LR: 0.001000 | AvgLoss: 0.4183 | Train Acc: 86.67%
[Epoch  680] 🔧 LR: 0.001000 | AvgLoss: 0.3523 | Train Acc: 90.00%
[Epoch  685] 🔧 LR: 0.001000 | AvgLoss: 0.2886 | Train Acc: 89.09%
[Epoch  690] 🔧 LR: 0.001000 | AvgLoss: 0.3433 | Train Acc: 86.67%
[Epoch  695] 🔧 LR: 0.001000 | AvgLoss: 0.2969 | Train Acc: 90.91%
[Epoch  700] 🔧 LR: 0.001000 | AvgLoss: 0.2544 | Train Acc: 90.00%
[Epoch  705] 🔧 LR: 0.001000 | AvgLoss: 0.3166 | Train Acc: 91.21%
[Epoch  710] 🔧 LR: 0.001000 | AvgLoss: 0.3209 | Train Acc: 91.52%
[Epoch  715] 🔧 LR: 0.001000 | AvgLoss: 0.3319 | Train Acc: 89.39%
[Epoch  720] 🔧 LR: 0.001000 | AvgLoss: 0.2831 | Train Acc: 91.21%
[Epoch  725] 🔧 LR: 0.001000 | AvgLoss: 0.3323 | Train Acc: 84.24%
[Epoch  730] 🔧 LR: 0.001000 | AvgLoss: 0.2282 | Train Acc: 93.33%
[Epoch  735] 🔧 LR: 0.001000 | AvgLoss: 0.3184 | Train Acc: 90.30%
[Epoch  740] 🔧 LR: 0.001000 | AvgLoss: 0.3591 | Train Acc: 87.58%
[Epoch  745] 🔧 LR: 0.001000 | AvgLoss: 0.2639 | Train Acc: 92.73%
[Epoch  750] 🔧 LR: 0.001000 | AvgLoss: 0.3991 | Train Acc: 87.88%
[Epoch  755] 🔧 LR: 0.001000 | AvgLoss: 0.3824 | Train Acc: 85.76%
[Epoch  760] 🔧 LR: 0.001000 | AvgLoss: 0.2991 | Train Acc: 89.39%
[Epoch  765] 🔧 LR: 0.001000 | AvgLoss: 0.2925 | Train Acc: 89.09%
[Epoch  770] 🔧 LR: 0.001000 | AvgLoss: 0.2931 | Train Acc: 90.61%
[Epoch  775] 🔧 LR: 0.001000 | AvgLoss: 0.3943 | Train Acc: 89.39%
[Epoch  780] 🔧 LR: 0.001000 | AvgLoss: 0.3536 | Train Acc: 87.27%
[Epoch  785] 🔧 LR: 0.001000 | AvgLoss: 0.3546 | Train Acc: 89.70%
[Epoch  790] 🔧 LR: 0.001000 | AvgLoss: 0.2958 | Train Acc: 91.82%
[Epoch  795] 🔧 LR: 0.001000 | AvgLoss: 0.2727 | Train Acc: 90.61%
[Epoch  800] 🔧 LR: 0.000100 | AvgLoss: 0.2774 | Train Acc: 90.30%
[Epoch  805] 🔧 LR: 0.000100 | AvgLoss: 0.2764 | Train Acc: 89.09%
[Epoch  810] 🔧 LR: 0.000100 | AvgLoss: 0.3173 | Train Acc: 90.30%
[Epoch  815] 🔧 LR: 0.000100 | AvgLoss: 0.2238 | Train Acc: 93.33%
[Epoch  820] 🔧 LR: 0.000100 | AvgLoss: 0.3105 | Train Acc: 90.91%
[Epoch  825] 🔧 LR: 0.000100 | AvgLoss: 0.2234 | Train Acc: 96.36%
[Epoch  830] 🔧 LR: 0.000100 | AvgLoss: 0.2996 | Train Acc: 90.00%
[Epoch  835] 🔧 LR: 0.000100 | AvgLoss: 0.2823 | Train Acc: 93.33%
